행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
뮤지컬 온새미로,대구학생문화센터 대공연장,뮤지컬,2021-06-15,2021-06-18,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
교과서 쏙 클래식 클라쓰,대구학생문화센터 소극장,음악,2021-06-23,2021-07-06,10:00,11:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
교과서 쏙 클래식 클라쓰,대구학생문화센터 소극장,음악,2021-06-23,2021-07-06,13:00,14:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
오정해와 함께하는 국악 소리 길,대구학생문화센터 대공연장,국악,2021-07-05,2021-07-09,10:00,11:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
오정해와 함께하는 국악 소리 길,대구학생문화센터 대공연장,국악,2021-07-05,2021-07-09,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
오정해와 함께하는 국악 소리 길 기획공연,대구학생문화센터 대공연장,국악,2021-07-09,2021-07-09,19:30,20:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
부산국제어리이청소년영화제 영화상영,대구학생문화센터 소극장,영화,2021-08-26,2021-09-01,10:00,11:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
부산국제어리이청소년영화제 영화상영,대구학생문화센터 소극장,영화,2021-08-26,2021-09-01,13:00,14:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
상주단체 기획공연 이중섭의 메모리,대구학생문화센터 대공연장,뮤지컬,2021-08-27,2021-08-27,19:30,21:10,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
상주단체 기획공연 이중섭의 메모리,대구학생문화센터 대공연장,뮤지컬,2021-08-28,2021-08-28,14:00,15:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
상주단체 기획공연 이중섭의 메모리,대구학생문화센터 대공연장,뮤지컬,2021-08-28,2021-08-28,18:00,19:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식 배틀,대구학생문화센터 대공연장,클래식,2021-09-02,2021-09-16,10:00,11:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식 배틀,대구학생문화센터 대공연장,클래식,2021-09-02,2021-09-16,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식 배틀 기획공연,대구학생문화센터 대공연장,클래식,2021-09-09,2021-09-09,19:30,21:00,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식 배틀 기획공연,대구학생문화센터 대공연장,클래식,2021-09-10,2021-09-10,19:30,20:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
성민제&조윤성 클라츠 콘서트,대구학생문화센터 대공연장,클래식,2021-09-29,2021-10-08,10:00,11:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
성민제&조윤성 클라츠 콘서트,대구학생문화센터 대공연장,클래식,2021-09-29,2021-10-08,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
성민제&조윤성 클라츠 콘서트 기획공연,대구학생문화센터 대공연장,클래식,2021-10-01,2021-10-01,19:30,21:00,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
초등학교폭력 예방뮤지컬 미러톡,대구학생문화센터 소극장,뮤지컬,2021-11-01,2021-11-23,09:00,10:10,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초등학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
초등학교폭력 예방뮤지컬 미러톡,대구학생문화센터 소극장,뮤지컬,2021-11-01,2021-11-23,10:50,12:00,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초등학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
상주단체 기획공연 흥보가 기가 막혀,대구학생문화센터 대공연장,뮤지컬,2021-11-06,2021-11-06,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
상주단체 기획공연 흥보가 기가 막혀,대구학생문화센터 대공연장,뮤지컬,2021-11-06,2021-11-06,18:00,19:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
2021 대구유스콰이어 정기 연주회,대구학생문화센터 대공연장,음악,2021-11-13,2021-11-13,17:00,16:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,6세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
무대를 만드는 사람들,대구학생문화센터 대공연장,복합,2021-11-18,2021-11-19,10:00,11:40,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
무대를 만드는 사람들,대구학생문화센터 대공연장,복합,2021-11-17,2021-11-19,13:30,15:10,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
발레컬 Once upon a time in 발레,대구학생문화센터 대공연장,무용,2021-11-23,2021-11-26,10:00,11:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
발레컬 Once upon a time in 발레,대구학생문화센터 대공연장,무용,2021-11-23,2021-11-26,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
발레컬 Once upon a time in 발레 기획공연,대구학생문화센터 대공연장,무용,2021-11-24,2021-11-24,19:30,20:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
2021 대구학생국악단 정기 연주회,대구학생문화센터 대공연장,국악,2021-12-04,2021-12-04,17:00,16:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,6세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
2021 송년음악회,대구학생문화센터 대공연장,복합,2021-12-17,2021-12-17,19:30,21:00,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
초등학교폭력예방뮤지컬 미러톡,대구학생문화센터 소극장,뮤지컬,2022-03-23,2022-04-15,09:00,10:15,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초등학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
초등학교폭력예방뮤지컬 미러톡,대구학생문화센터 소극장,뮤지컬,2022-03-23,2022-04-15,10:50,12:05,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초등학생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식배틀Ⅰ-The Original,대구학생문화센터 대공연장,클래식,2022-04-06,2022-04-15,10:00,11:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
2025 얼음나라 화천 산천어축제 개막식,산천어축제장 얼곰이성 앞,2025 얼음나라 화천 산천어축제 개막식 축하공연,2025-01-11,2025-01-11,17:30,18:30,무료,강원특별자치도 화천군,강원특별자치도 화천군,033-440-2542,,1000,0,전연령,,,www.ihc.go.kr/hcyc,,Y,,강원특별자치도 화천군 화천읍 중리 233-1,38.1079564932,127.7101646664,2025-07-16,4311000,강원특별자치도 화천군
2025 선등거리페스티벌(차없는거리),선등거리,2025 선등거리페스티벌(차없는거리) 공연,2025-01-11,2025-02-01,18:00,20:30,무료,강원특별자치도 화천군,강원특별자치도 화천군,033-440-2543,,800,0,전연령,,,www.ihc.go.kr/hcyc,,Y,,강원특별자치도 화천군 화천읍 하리 43-64,38.1050339589,127.7049401351,2025-07-16,4311000,강원특별자치도 화천군
왔구나 연희야,해남문화예술회관 대공연장,국악,2025-03-06,2025-03-06,19:30,20:30,무료,전라남도 해남군청,전라남도 해남군청,061-530-5137,,692,,,,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
개관23주년 KBS국악관혁악단 콘서트,해남문화예술회관 대공연장,음악,2025-04-17,2025-04-17,19:00,20:30,무료,전라남도 해남군청,전라남도 해남군청,061-530-5137,,692,,,,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
땅끝에서 부는 바람 풍물굿패 해원 공연,해남문화예술회관 대공연장,풍물굿+들소리,2025-05-17,2025-05-17,16:00,18:00,무료,풍물굿패 해원,전라남도 해남군청,061-530-5138,,692,,,,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
천희심 흥보가 제자 발표회 특별공연,해남문화예술회관 1층 다목적실,국악,2025-05-24,2025-05-24,14:00,15:00,무료,천희심 판소리연구소,천희심 판소리연구소,061-530-5138,,,,,,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
2025 해남 썸머 울림페스타,해남군민광장,가요+트롯,2025-06-13,2025-06-14,18:00,22:00,무료,해남문화관광재단,전라남도 해남군청,061-535-6284,,,,,,,https://art.haenam.go.kr,,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
싱그러운 정원 속으로 GO GO,해남군민광장,정통무예퍼포먼스 공연 + ESG체험 프로그램,2025-06-27,2025-06-27,17:00,20:00,무료,지역문화진흥원+전라남도문화재단+해남문화관광재단,문화체육관광부+전라남도+전라남도 해남군청,061-530-5140,,,,,,,https://art.haenam.go.kr,,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
세기의 사나이,해남문화예술회관 대공연장,연극,2025-07-03,2025-07-03,19:00,21:00,유료,전라남도 해남군청,전라남도 해남군청,061-530-5139,,692,10000원,,해남군민 5000원,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
잽이들의 노래 풍물굿패 해원 공연,해남문화예술회관 대공연장,풍물굿,2025-07-19,2025-07-19,18:30,20:30,무료,풍물굿패 해원,문화체육관광부+전라남도 해남군,061-530-5138,,692,,,,,https://art.haenam.go.kr,http://art.haenam.go.kr,Y,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,2025-07-15,4930000,전라남도 해남군
2025년 음악이 있는 유성산책 버스킹,유림공원+욧골어린이공원+방동음악분수+대전화폐박물관,버스킹을 통하여 지역주민이 함께 어우러질 수 있는 공연 진행,2025-04-01,2025-10-31,12:00,20:00,무료,유성구 행복누리재단,대전광역시 유성구청,042-611-2077,,,,,,,,, ,대전광역시 유성구 어은로 27,대전광역시 유성구 봉명동 496-39,36.3606819,127.3576851,2025-07-15,3670000,대전광역시 유성구
2025년 찾아가는 야외공연 여름밤 콘서트,관내 주요 공원,다양한 장르의 공연을 개최하여 모든 연령층이 공감할 수 있는 공연 진행,2025-06-11,2025-07-26,13:00,20:00,무료,유성구 행복누리재단,대전광역시 유성구청,042-611-2077,,,,,,,,, ,대전광역시 유성구 성북로 62,대전광역시 유성구 방동 155,36.2879643,127.306739,2025-07-15,3670000,대전광역시 유성구
2025년 국화음악회,유림공원,야외음악회 및 지역 예술인 공연,2025-10-18,2025-10-18,18:00,21:00,무료,대전광역시 유성구청,대전광역시 유성구청,042-611-2077,,,,,,,,, ,대전광역시 유성구 어은로 27,대전광역시 유성구 봉명동 496-39,36.3606819,127.3576851,2025-07-15,3670000,대전광역시 유성구
2025년 유성 국화축제 버스킹,유림공원,버스킹을 통하여 지역주민이 함께 어우러질 수 있는 공연 진행,2025-10-17,2025-11-02,15:00,18:00,무료,대전광역시 유성구청,대전광역시 유성구청,042-611-2678,,,,,,,,, ,대전광역시 유성구 어은로 27,대전광역시 유성구 봉명동 496-39,36.3606819,127.3576851,2025-07-15,3670000,대전광역시 유성구
2025년 방동 윤슬거리 음악분수,방동저수지,방동저수지 내 음악분수 가동,2025-04-01,2025-10-31,14:00,20:00,무료,대전광역시 유성구청,대전광역시 유성구청,042-611-2747,,,,,,,,, ,대전광역시 유성구 성북로 62,대전광역시 유성구 방동 155,36.2879643,127.306739,2025-07-15,3670000,대전광역시 유성구
(공연유통 사업) 창극 <살로메>,반석아트홀,전통,2025-10-16,2025-10-16,19:30,21:20,유료,(재)경기도 화성시문화재단,경기도 화성시,1588-5234,,460,R석 30000원+S석 20000원,만 13세 이상,,,https://www.hcf.or.kr/art/122,http://ticket.interpark.com/, ,경기도 화성시 노작로 134,경기도 화성시 반송동 108,37.20068757,127.0751221,2025-07-11,5530000,경기도 화성시
반석산 피크닉: The Musical Concerto,야외공연장,콘서트,2025-10-18,2025-10-18,17:00,18:30,유료,(재)경기도 화성시문화재단,경기도 화성시,1588-5234,,946,R석 50000원+S석 40000원+A석 30000원/잔디석 30000원,전체 관람가,,,https://www.hcf.or.kr/art/122,http://ticket.interpark.com/, ,경기도 화성시 노작로 134,경기도 화성시 반송동 108,37.20068757,127.0751221,2025-07-11,5530000,경기도 화성시
2025 렉처 콘서트 PART II <영화에 녹아 든 오페라>,반석아트홀,화성시문화의날(클래식),2025-10-31,2025-10-31,19:30,20:40,유료,(재)경기도 화성시문화재단,경기도 화성시,1588-5234,,528,10000,만 7세 이상,,,https://www.hcf.or.kr/art/122,http://ticket.interpark.com/, ,경기도 화성시 노작로 134,경기도 화성시 반송동 108,37.20068757,127.0751221,2025-07-11,5530000,경기도 화성시
윤복희 콘서트,화성아트홀,콘서트,2025-11-08,2025-11-08,17:00,18:30,유료,(재)경기도 화성시문화재단,경기도 화성시,1588-5234,,647,R석 50000원+S석 30000원,만 7세 이상,,,https://www.hcf.or.kr/art/122,http://ticket.interpark.com/, ,경기도 화성시 태안로 145,경기도 화성시 병점동 734,37.2030676,127.0328089,2025-07-11,5530000,경기도 화성시
2025 렉처 콘서트 PART II <소설 속 클래식>,반석아트홀,화성시문화의날(클래식),2025-11-26,2025-11-26,19:30,20:40,유료,(재)경기도 화성시문화재단,경기도 화성시,1588-5234,,528,10000,만 7세 이상,,,https://www.hcf.or.kr/art/122,http://ticket.interpark.com/, ,경기도 화성시 노작로 134,경기도 화성시 반송동 108,37.20068757,127.0751221,2025-07-11,5530000,경기도 화성시
클래식배틀Ⅰ-The Original,대구학생문화센터 대공연장,클래식,2022-03-31,2022-04-15,14:00,15:20,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,중고교생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
클래식배틀Ⅰ-The Original 교육공동체관람공연,대구학생문화센터 대공연장,클래식,2022-04-07,2022-04-08,19:30,20:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,1441,,8세이상,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
무용극 반짝반짝 그 찬란한 날,대구학생문화센터 소극장,무용,2022-04-21,2022-05-03,10:00,11:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중고생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
무용극 반짝반짝 그 찬란한 날,대구학생문화센터 소극장,무용,2022-04-21,2022-05-03,13:00,14:50,무료,대구학생문화센터,대구학생문화센터,053-231-1333,,157,,초중고생,,"공연시간 20분전 까지 입장+공연 중에는(비디오, 사진) 촬영 금지+공연장 안으로 주류 및 음식물 반입 금지",www.dge.go.kr/dccs,www.dge.go.kr/dccs,Y,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-6,35.8530244,128.5295209,2025-08-26,7240195,대구광역시교육청 대구학생문화센터
